gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Nodal,0.333333333,0.577350269,2.666666667,0.577350269,1.459431619,FALSE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Birc6,146.2693333,129.4690814,677.475,50.01223583,2.203838615,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Prdx6,6.483666667,3.062336091,20.622,1.707743248,1.530682771,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Rpgr,1.540333333,2.667935594,8.058666667,0.083608213,1.834280903,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Gm14406,1.166666667,2.020725942,13.33833333,3.721412949,2.726328215,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Ppl,366.3296667,157.9028975,967.993,7.57667493,1.399410826,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Npm2,0.666666667,1.154700538,9.666666667,2.081665999,2.678071905,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Ptpn18,1.014666667,0.879111673,3.884333333,0.518690981,1.277620501,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Atp6v0e2,13.02166667,5.750310455,34.059,8.849541401,1.322127003,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Abca8b,10.436,9.076978352,62.90566667,19.49301347,2.482361339,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Sec31b,2.333333333,4.041451884,35.30033333,8.872828035,3.444945297,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Aqp9,0.333333333,0.577350269,2.442,0.509992157,1.368209598,FALSE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Slirp,0.420333333,0.728038689,3.891666667,0.76085763,1.784096547,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Dmxl2,3.300333333,5.716345015,59.81566667,13.44098681,3.821922625,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
P2rx4,11.69133333,6.485327465,59.311,13.83303918,2.248577512,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Plekha1,0.870333333,1.507461553,9.798666667,2.097227773,2.529485874,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Recql4,3,5.196152423,27.73866667,4.250751149,2.844921224,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Bcl3,1.432333333,1.294015585,8.991666667,1.930880714,2.038384395,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Ppp2r3d,5.506666667,0.816013072,21.84933333,5.06401119,1.812161521,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Ndufv3,0.410666667,0.711295532,2.617666667,0.077261461,1.358682357,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Ovgp1,21.66666667,3.511884584,44.66666667,4.509249753,1.010569242,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Camkk2,5.105666667,8.843274073,32.323,4.241270918,2.448297555,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Sema6b,49.334,17.78664297,111.2353333,14.06464167,1.156921772,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Tlk2,10.55633333,9.145792056,38.082,6.319446495,1.757820575,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Spaca6,9.912666667,2.144474139,32.107,3.007880317,1.601132598,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Csad,7.642,3.118276607,30.75833333,7.912697033,1.877698066,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Fkbp5,51.405,16.80556679,369.4173333,103.0387234,2.821375238,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Rprd1b,0,0,30.726,9.249693833,4.987593733,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Gm14443,0.666666667,1.154700538,6.333333333,1.154700538,2.137503524,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Fhl1,2.416666667,2.097308831,20.83633333,2.882720995,2.676069216,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Styk1,0,0,7.666666667,3.214550254,3.115477217,TRUE,FALSE,GF_specific_medium,0.001,0,TRUE
Dot1l,29.294,3.574884054,65.914,8.564585162,1.143276005,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Lmo7,178.7933333,48.2747828,361,34.13183955,1.00965017,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Hmgn3,0,0,2.845,1.440662695,1.942983598,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Atf5,0,0,22.16366667,10.69735595,4.533791736,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Armc10,0,0,3.176,1.573119194,2.062121712,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Large2,51.96033333,24.91117461,120.7896667,5.893243617,1.201407624,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
