gene_symb,gene_symb_1
Tm2d1,Zdhhc3
Tnnt3,Rfx2
Trnau1ap,Kdm4b
Padi3,Bicral
Cacnb2,Pla2g7
Rxrb,Zap70
Adgrl2,Carf
Pecam1,Cnot9
Gbp2b,Dnpep
Naip2,Cul3
Tekt4,Ap3s1
Tubgcp6,Rap2c
Styk1,Tbl1x
Plekha6,Pmm2
Hk2,Spsb3
Whamm,Capn15
Stac,Surf6
Usp34,Trim41
Tspan5,Irgm
Syngr4,Mgat4b
Ankhd1,Maml1
Axl,Zfp18
Pcsk9,Ctc1
Arsk,Senp3
Il7,Bltp2
Prmt8,Supt6h
Map4,Scarf1
Ccdc120,Nsrp1
Ppp2r3d,Psmd11
Tle1,Nle1
Imp4,Dnajc7
Chd3,Ezh1
Cinp,Map3k3
Phc3,Slc38a10
Piwil4,Foxk2
Trdn,Fn3krp
Ssr1,Klhl22
Rab11fip2,Tbccd1
Nppb,Arl13b
Lor,Morc3
Ttr,Snapc2
1700010I14Rik,Cpsf4
Poli,Zdhhc4
Ifrd2,Pitpnm2
Pkd1,Orai1
Laptm4b,Coq5
Cfap70,Ep400
Vps16,Ppp1r15b
Pld2,Fam20b
Arrdc2,Nuf2
Nebl,Copa
Siglec1,Zfp281
Nyx,Srd5a3
Trap1a,Slain2
Spatc1,Tlr6
Nanos1,Fam53a
Zkscan16,Aebp1
Dntt,Eif6
Zfand1,Peli1
Vma21,B3gnt2
Sirt2,Pcgf3
Dpm2,Slc39a2
Ccdc61,Rab2b
Anks1,Irf9
Camk2d,Fbxl3
Scn8a,Pxk
Get4,Capn7
Ccdc82,Abhd8
Tlcd1,Gmip
Arhgap12,Cfap97
,Dusp26
,Atp11a
,Tspan17
,Kdm1b
,Hspa14
,Apbb1ip
,Timm21
,Mex3c
,Fbxo38
,Csf1r
,Rbm22
,Ctnna1
,Nol4
,Gins3
,Usb1
,Kifc3
,Psme3ip1
,Esrp2
,Zfp276
,Tfb1m
,Zc3h12d
,U2af2
,Kmt5c
,Zfp574
,B9d2
